Garbage Bags,true,null
Cooler,true,null
Ice,true,null
Cooler,false,null
Ice,true,null
Paper Towels,true,null
Toilet Paper,false,null
Charcoal,false,null
Bug Spray,false,null
Citronella,false,null
Glasses,true,null
Wine Glasses,false,null
Champagne Glasses,false,null
Water Pitcher,false,null
Cocktail Glasses,false,null
Stemmed Glass,false,null
Tall Glass,false,null
Short Glass,false,null
Cocktail Shaker,false,null
Cocktail Napkin,false,null
Jigger,false,null
Ice Bucket,false,null
Punch Bowl,false,null
Beverage Tub,false,null
Vodka,false,null
Gin,false,null
Dry Vermouth,false,null
Sweet Vermouth,false,null
Maraschino Cherries,false,null
Bourbon,false,null
Whiskey,false,null
Tequila,false,null
Rum,false,null
Sparkling Wine,false,null
Beer,false,null
Cognac,false,null
Sake,false,null
Bitters,false,null
Ping Pong Balls,false,null
Beach Towels,false,null
Bottled Water,false,null
Party Bus,false,null
Cologne,false,null
Strippers,false,null
Escorts,false,null
Penis Straws,false,null
Colorful Panties,false,null
Edible Underwear,false,null
Slow Cooker,false,null
Cookie Sheets,false,null
Toaster Oven,false,null
Cutting Boards,false,null
Disposable Cups,false,null
Disposable Plates,false,null
Disposable Utensils,false,null
Folding Table,false,null
Folding Chairs,false,null
Blender,false,null
Bluetooth Speakers,false,null
Candles,false,null
Instant Camera,false,null
Christmas Wreath,false,Christmas
Christmas Tree Stand,false,Christmas
Christmas Lights,false,Christmas
Mistletoe,false,Christmas
Toilet Paper,false,null
Charcoal,false,null
Bug Spray,false,null
Citronella,false,null
Glasses,false,null
Wine Glasses,false,null
Champagne Glasses,false,null
Water Pitcher,false,null
Cocktail Glasses,false,null
Stemmed Glass,false,null
Tall Glass,false,null
Short Glass,false,null
Cocktail Shaker,false,null
Cocktail Napkin,false,null
Jigger,false,null
Ice Bucket,false,null
Punch Bowl,false,null
Beverage Tub,false,null
Vodka,false,null
Gin,false,null
Dry Vermouth,false,null
Sweet Vermouth,false,null
Maraschino Cherry,false,null
Bourbon,false,null
Whiskey,false,null
Tequila,false,null
Rum,false,null
Sparkling Wine,false,null
Beer,false,null
Cognac,false,null
Sake,false,null
Bitters,false,null
Ping Pong Balls,false,null
Beach Towels,false,null
Bottled Water,false,null
Strippers,false,null
Escorts,false,null
Party Bus,false,null
Uber ride funds,false,null
Condoms,false,null
Pocket Pussies,false,null
Cologne,false,null
Attorney Fund,false,null
Travelers Insurance,false,null
Strippers,false,null
Escorts,false,null
Uber ride funds,false,null
Attorney Fund,false,null
Penis Straws,false,null
Colorful Panties,false,null
Edible Underwear,false,null
Slow Cooker,false,null
Cookie Sheets,false,null
Toaster Oven,false,null
Cutting Boards,false,null
Disposable Cups,false,null
Disposable Plates,false,null
Disposable Utensils,false,null
Folding Table,false,null
Folding Chairs,false,null
Blender,false,null
Bluetooth Speakers,false,null
Candles,false,null
Instant Camera,false,null
Christmas Wreath,false,null
Christmas Tree Stand,false,null
Christmas Lights,false,null
Mistletoe,false,null
Chips,true,null
Salsa,true,null
Cheese Dip,false,null
Soft Drinks,false,null
Pizza,false,null
Quesadillas,false,null
Lasagna,false,null
Spaghetti,false,null
Raviolis,false,null
Tortollini,false,null
Burritos,false,null
Tacos,false,null
Chalupas,false,null
Chinese,false,null
Sushi,false,null
Steak,false,null
Chicken Breast,false,null
Macaroni and Cheese,false,null
Bean Dip,false,null
Pita Chips,false,null
Pita Bread,false,null
Cheese Board,false,null
Charcuterie Tray,false,null
Hot Dogs,false,null
Burgers,false,null
Condiments,false,null
Pickles,false,null
Guacamole,false,null
Mashed Potatoes,false,null
Deviled Eggs,false,null
Bacon Wrapped Asparagus,false,null
Cookies,false,null
Brownies,false,null
Pie,false,null
Ice Cream,false,null
Cheesecake,false,null
DJ,false,null
Keg,false,null
Bouncer,false,null
Pledge Valet,false,null
Pledge Cleanup,false,null
Birthday Cake,false,null
Cupcakes,false,null
Birthday Hats,false,null
Balloons,false,null
Strobe Lights,false,null
Board Games,false,null
Playing cards,false,null
Cards Against Humanity,false,null
Party Bus,false,null
Video Games,false,null
Swimsuit,false,null
Computer,false,null
Pickup Truck,false,null
4-Wheeler,false,null
Slip and Slide,false,null

